numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2003-08-24 00:00:00,23.8,13.8
22581,22.16502778,-102.2951944,2003-08-25 00:00:00,24.5,13.6
22581,22.16502778,-102.2951944,2003-08-26 00:00:00,26.3,11.7
22581,22.16502778,-102.2951944,2003-08-27 00:00:00,25.8,14.4
22581,22.16502778,-102.2951944,2003-08-28 00:00:00,27.2,12.7
22581,22.16502778,-102.2951944,2003-08-29 00:00:00,28.8,11.6
22581,22.16502778,-102.2951944,2003-08-30 00:00:00,28.1,11.2
22581,22.16502778,-102.2951944,2003-08-31 00:00:00,27.9,11.9
22581,22.16502778,-102.2951944,2003-09-01 00:00:00,27,12.8
22581,22.16502778,-102.2951944,2003-09-02 00:00:00,24.9,14.7
22581,22.16502778,-102.2951944,2003-09-03 00:00:00,26.5,11.7
22581,22.16502778,-102.2951944,2003-09-04 00:00:00,26.2,13.7
22581,22.16502778,-102.2951944,2003-09-05 00:00:00,23.3,14.2
22581,22.16502778,-102.2951944,2003-09-06 00:00:00,24.7,15
22581,22.16502778,-102.2951944,2003-09-07 00:00:00,25.5,14.9
22581,22.16502778,-102.2951944,2003-09-08 00:00:00,24.2,14.7
22581,22.16502778,-102.2951944,2003-09-09 00:00:00,26.1,14.5
22581,22.16502778,-102.2951944,2003-09-10 00:00:00,25.3,14.5
22581,22.16502778,-102.2951944,2003-09-11 00:00:00,25.1,14
22581,22.16502778,-102.2951944,2003-09-12 00:00:00,24.4,13.8
22581,22.16502778,-102.2951944,2003-09-13 00:00:00,25.9,13.4
22581,22.16502778,-102.2951944,2003-09-14 00:00:00,25.2,14.4
22581,22.16502778,-102.2951944,2003-09-15 00:00:00,23.5,14.8
22581,22.16502778,-102.2951944,2003-09-16 00:00:00,25.1,13.3
22581,22.16502778,-102.2951944,2003-09-17 00:00:00,26.4,10.9
22581,22.16502778,-102.2951944,2003-09-18 00:00:00,26.6,15
22581,22.16502778,-102.2951944,2003-09-19 00:00:00,26,15.3
22581,22.16502778,-102.2951944,2003-09-20 00:00:00,25,16.5
22581,22.16502778,-102.2951944,2003-09-21 00:00:00,24.2,14.3
22581,22.16502778,-102.2951944,2003-09-22 00:00:00,25.6,14.8
22581,22.16502778,-102.2951944,2003-09-23 00:00:00,26.5,16
22581,22.16502778,-102.2951944,2003-09-24 00:00:00,27.6,12.1
22581,22.16502778,-102.2951944,2003-09-25 00:00:00,28.8,12.5
22581,22.16502778,-102.2951944,2003-09-26 00:00:00,25.6,14.2
22581,22.16502778,-102.2951944,2003-09-27 00:00:00,26,13.9
22581,22.16502778,-102.2951944,2003-09-28 00:00:00,22.2,13.6
22581,22.16502778,-102.2951944,2003-09-29 00:00:00,19.5,11.5
22581,22.16502778,-102.2951944,2003-09-30 00:00:00,24,9.3
22581,22.16502778,-102.2951944,2003-10-01 00:00:00,25.7,8.4
22581,22.16502778,-102.2951944,2003-10-02 00:00:00,24.8,5.5
22581,22.16502778,-102.2951944,2003-10-03 00:00:00,26.4,5.8
22581,22.16502778,-102.2951944,2003-10-04 00:00:00,27.7,8.6
22581,22.16502778,-102.2951944,2003-10-05 00:00:00,26.5,9.6
22581,22.16502778,-102.2951944,2003-10-06 00:00:00,23.5,9.6
22581,22.16502778,-102.2951944,2003-10-07 00:00:00,22.2,15.5
22581,22.16502778,-102.2951944,2003-10-08 00:00:00,24.3,13.3
22581,22.16502778,-102.2951944,2003-10-09 00:00:00,26.3,10.1
22581,22.16502778,-102.2951944,2003-10-10 00:00:00,26.5,14.1
22581,22.16502778,-102.2951944,2003-10-11 00:00:00,26,15.4
22581,22.16502778,-102.2951944,2003-10-12 00:00:00,24.9,14.9
22581,22.16502778,-102.2951944,2003-10-13 00:00:00,25.3,14.5
22581,22.16502778,-102.2951944,2003-10-14 00:00:00,26.7,12.4
22581,22.16502778,-102.2951944,2003-10-15 00:00:00,25.1,10.2
22581,22.16502778,-102.2951944,2003-10-16 00:00:00,26.6,13.9
22581,22.16502778,-102.2951944,2003-10-17 00:00:00,24.9,11.1
22581,22.16502778,-102.2951944,2003-10-18 00:00:00,21.8,9.5
22581,22.16502778,-102.2951944,2003-10-19 00:00:00,23.7,8.1
22581,22.16502778,-102.2951944,2003-10-20 00:00:00,24.3,5.8
22581,22.16502778,-102.2951944,2003-10-21 00:00:00,24.3,3.4
22581,22.16502778,-102.2951944,2003-10-22 00:00:00,25.1,4.5
22581,22.16502778,-102.2951944,2003-10-23 00:00:00,26.1,4.6
22581,22.16502778,-102.2951944,2003-10-24 00:00:00,27.2,8
22581,22.16502778,-102.2951944,2003-10-25 00:00:00,26.5,9.3
22581,22.16502778,-102.2951944,2003-10-26 00:00:00,25.2,12.2
22581,22.16502778,-102.2951944,2003-10-27 00:00:00,15.3,5.5
22581,22.16502778,-102.2951944,2003-10-28 00:00:00,23.1,0.2
22581,22.16502778,-102.2951944,2003-10-29 00:00:00,25.4,1.9
22581,22.16502778,-102.2951944,2003-10-30 00:00:00,27.2,3.5
22581,22.16502778,-102.2951944,2003-10-31 00:00:00,27,3.9
22581,22.16502778,-102.2951944,2003-11-01 00:00:00,26.5,7.6
22581,22.16502778,-102.2951944,2003-11-02 00:00:00,25.9,8.1
22581,22.16502778,-102.2951944,2003-11-03 00:00:00,27.6,8.1
22581,22.16502778,-102.2951944,2003-11-04 00:00:00,27.7,8.4
22581,22.16502778,-102.2951944,2003-11-05 00:00:00,28,10.9
22581,22.16502778,-102.2951944,2003-11-06 00:00:00,28.4,7.5
22581,22.16502778,-102.2951944,2003-11-07 00:00:00,27.2,6.9
22581,22.16502778,-102.2951944,2003-11-08 00:00:00,26,4.7
22581,22.16502778,-102.2951944,2003-11-09 00:00:00,25.2,4.9
22581,22.16502778,-102.2951944,2003-11-10 00:00:00,25.1,6
22581,22.16502778,-102.2951944,2003-11-11 00:00:00,26.8,4.5
22581,22.16502778,-102.2951944,2003-11-12 00:00:00,27.1,6.4
22581,22.16502778,-102.2951944,2003-11-13 00:00:00,24,3.6
22581,22.16502778,-102.2951944,2003-11-14 00:00:00,24.8,8.7
22581,22.16502778,-102.2951944,2003-11-15 00:00:00,26.8,6.6
22581,22.16502778,-102.2951944,2003-11-16 00:00:00,25.6,4.9
22581,22.16502778,-102.2951944,2003-11-17 00:00:00,25.5,8.1
22581,22.16502778,-102.2951944,2003-11-18 00:00:00,27.3,6.6
22581,22.16502778,-102.2951944,2003-11-19 00:00:00,23.2,6
22581,22.16502778,-102.2951944,2003-11-20 00:00:00,24.9,8.2
22581,22.16502778,-102.2951944,2003-11-21 00:00:00,26.7,1.5
22581,22.16502778,-102.2951944,2003-11-22 00:00:00,27.2,1.8
22581,22.16502778,-102.2951944,2003-11-23 00:00:00,25.6,1.9
22581,22.16502778,-102.2951944,2003-11-24 00:00:00,24.1,0.7
22581,22.16502778,-102.2951944,2003-11-25 00:00:00,25.4,1.4
22581,22.16502778,-102.2951944,2003-11-26 00:00:00,24.3,4.2
22581,22.16502778,-102.2951944,2003-11-27 00:00:00,26.1,2.1
22581,22.16502778,-102.2951944,2003-11-28 00:00:00,19.1,6.2
22581,22.16502778,-102.2951944,2003-11-29 00:00:00,22.2,1.1
22581,22.16502778,-102.2951944,2003-11-30 00:00:00,24.2,1.5
22581,22.16502778,-102.2951944,2003-12-01 00:00:00,25,1.6
22581,22.16502778,-102.2951944,2003-12-02 00:00:00,22.4,2
22581,22.16502778,-102.2951944,2003-12-03 00:00:00,24,0.7
22581,22.16502778,-102.2951944,2003-12-04 00:00:00,22.7,0.7
22581,22.16502778,-102.2951944,2003-12-05 00:00:00,22.2,-0.6
22581,22.16502778,-102.2951944,2003-12-06 00:00:00,19.3,1.8
22581,22.16502778,-102.2951944,2003-12-07 00:00:00,21.7,-0.6
22581,22.16502778,-102.2951944,2003-12-08 00:00:00,21.4,0
22581,22.16502778,-102.2951944,2003-12-09 00:00:00,22.7,3
22581,22.16502778,-102.2951944,2003-12-10 00:00:00,21.7,-1.1
22581,22.16502778,-102.2951944,2003-12-11 00:00:00,22.3,4.6
22581,22.16502778,-102.2951944,2003-12-12 00:00:00,21.1,3.6
22581,22.16502778,-102.2951944,2003-12-13 00:00:00,19.1,4.7
22581,22.16502778,-102.2951944,2003-12-14 00:00:00,22.3,-5.1
